ProductSubCategoryName,FiscalYear,FiscalMonth,SalesRevenue
Mountain Bikes,2012,11,868578.5699
Road Frames,2012,11,269761.0424
Mountain Frames,2012,11,153335.8069
Wheels,2012,11,69155.80849
Tights,2012,11,18477.64099
Bib-Shorts,2012,11,17240.35619
Gloves,2012,11,14271.98791
Jerseys,2012,11,13762.86887
Handlebars,2012,11,8670.3255
Shorts,2012,11,8337.29022
Helmets,2012,11,7448.82588
Forks,2012,11,4638.636
Headsets,2012,11,2550.907632
Locks,2012,11,1587.62
Pumps,2012,11,1441.15906
Caps,2012,11,1081.614622
Road Bikes,2012,12,1986914.176
Mountain Bikes,2012,12,1191170.741
Road Frames,2012,12,397298.5334
Mountain Frames,2012,12,243623.5092
Wheels,2012,12,124399.9303
Tights,2012,12,27091.41233
Bib-Shorts,2012,12,26180.53873
Jerseys,2012,12,19926.25047
Gloves,2012,12,19545.40811
Handlebars,2012,12,14312.218
Helmets,2012,12,13974.33256
Forks,2012,12,11035.716
Headsets,2012,12,8814.59145
Shorts,2012,12,8757.892108
Locks,2012,12,2511.31
Pumps,2012,12,2066.750108
Caps,2012,12,1731.046737
Road Bikes,2013,1,1544160.848
Mountain Bikes,2013,1,1144878.468
Road Frames,2013,1,290444.9849
Mountain Frames,2013,1,211336.9207
Wheels,2013,1,94644.4979
Bib-Shorts,2013,1,23143.99716
Tights,2013,1,20751.42028
Gloves,2013,1,17353.06245
Jerseys,2013,1,14728.40106
Handlebars,2013,1,12358.5428
Helmets,2013,1,11488.59038
Forks,2013,1,10455.16162
Shorts,2013,1,9032.250374
Headsets,2013,1,8216.281871
Locks,2013,1,2205.77
Pumps,2013,1,1634.966108
Caps,2013,1,1119.705897
Road Bikes,2013,2,1165422.129
Mountain Bikes,2013,2,673854.3537
Road Frames,2013,2,112326.4015
Mountain Frames,2013,2,103356.7166
Wheels,2013,2,43782
Tights,2013,2,16207.16876
Bib-Shorts,2013,2,10659.53148
Gloves,2013,2,10190.09658
Jerseys,2013,2,9515.77258
Helmets,2013,2,7421.16226
Shorts,2013,2,6766.872
Handlebars,2013,2,5150.552412
Headsets,2013,2,4349.678172
Forks,2013,2,4096.452
Locks,2013,2,960
Caps,2013,2,798.721
Pumps,2013,2,779.61
Road Bikes,2013,3,1778010.989
Mountain Bikes,2013,3,1117157.434
Road Frames,2013,3,201760.1973
Mountain Frames,2013,3,178595.3311
Wheels,2013,3,71073.444
Tights,2013,3,22795.25023
Gloves,2013,3,14712.49619
Jerseys,2013,3,13699.19
Bib-Shorts,2013,3,11338.74
Helmets,2013,3,9594.925228
Forks,2013,3,9529.674
Shorts,2013,3,8674.554
Handlebars,2013,3,7304.9396
Headsets,2013,3,5758.962
Locks,2013,3,1620
Pumps,2013,3,1367.316
Caps,2013,3,1158.497936
Road Bikes,2013,4,1189205.456
Mountain Bikes,2013,4,903581.8273
Mountain Frames,2013,4,161590.5893
Road Frames,2013,4,144002.8258
Wheels,2013,4,49066.443
Tights,2013,4,17573.03662
Bib-Shorts,2013,4,13299.55011
Gloves,2013,4,12723.0093
Jerseys,2013,4,12193.75987
Forks,2013,4,9916.98
Helmets,2013,4,7774.072375
Shorts,2013,4,7692.709668
Headsets,2013,4,6241.416
Handlebars,2013,4,5846.1175
Locks,2013,4,1200
Caps,2013,4,1103.852864
Pumps,2013,4,1079.46
Road Bikes,2013,5,1000859.119
Mountain Bikes,2013,5,726011.9746
Road Frames,2013,5,44494.5131
Mountain Frames,2013,5,44023.2746
Wheels,2013,5,17155.503
Tights,2013,5,7828.956
Gloves,2013,5,6817.938033
Bib-Shorts,2013,5,6533.274
Jerseys,2013,5,4787.5064
Shorts,2013,5,3563.406
Helmets,2013,5,3371.1455
Forks,2013,5,2065.41
Headsets,2013,5,1784.681996
Handlebars,2013,5,1608.7395
Locks,2013,5,720
Pumps,2013,5,635.682
Caps,2013,5,440.8525
Road Bikes,2013,6,1594391.501
Mountain Bikes,2013,6,1004535.087
Mountain Frames,2013,6,108360.7628
Road Frames,2013,6,41904.0135
Wheels,2013,6,22941.237
Gloves,2013,6,11230.98887
Tights,2013,6,9853.686
Bib-Shorts,2013,6,8477.058
Jerseys,2013,6,7498.504
Helmets,2013,6,4360.284
Headsets,2013,6,4040.022
Shorts,2013,6,3923.346
Forks,2013,6,3717.738
Handlebars,2013,6,2267.6475
Locks,2013,6,735
Caps,2013,6,700.1775
Pumps,2013,6,467.766
Road Bikes,2013,7,1067159.905
Mountain Bikes,2013,7,816655.5118
Mountain Frames,2013,7,83686.3161
Road Frames,2013,7,46293.1435
Wheels,2013,7,23089.089
Tights,2013,7,9859.062783
Gloves,2013,7,7332.170673
Bib-Shorts,2013,7,6533.274
Jerseys,2013,7,5906.18586
Headsets,2013,7,5111.88
Forks,2013,7,4130.82
Helmets,2013,7,3923.609436
Shorts,2013,7,3743.376
Handlebars,2013,7,2398.6
Locks,2013,7,750
Pumps,2013,7,659.67
Caps,2013,7,639.847936
Road Bikes,2013,8,1114024.385
Mountain Bikes,2013,8,847502.6029
Road Frames,2013,8,128223.3795
Mountain Frames,2013,8,110060.3299
Wheels,2013,8,45116.976
Tights,2013,8,14047.54674
Bib-Shorts,2013,8,11361.45348
Gloves,2013,8,11105.3532
Jerseys,2013,8,9276.67199
Helmets,2013,8,7613.904016
Shorts,2013,8,6253.453584
Handlebars,2013,8,4533.3947
Headsets,2013,8,2841.042
Forks,2013,8,2185.92
Locks,2013,8,1050
Pumps,2013,8,971.514
Caps,2013,8,754.224108
Road Bikes,2013,9,1800833.272
Mountain Bikes,2013,9,1077264.533
Road Frames,2013,9,187222.5822
Mountain Frames,2013,9,176103.8656
Wheels,2013,9,63931.779
Tights,2013,9,19467.77895
Bib-Shorts,2013,9,17138.81148
Gloves,2013,9,16829.59715
Jerseys,2013,9,12530.34376
Helmets,2013,9,9373.909364
Shorts,2013,9,8350.608
Forks,2013,9,7633.536
Handlebars,2013,9,5881.8441
Headsets,2013,9,5248.123632
Locks,2013,9,1515
Pumps,2013,9,1499.25
Caps,2013,9,1244.133652
Road Bikes,2013,10,1183349.016
Mountain Bikes,2013,10,902992.5195
Mountain Frames,2013,10,154048.2402
Road Frames,2013,10,142199.8491
Wheels,2013,10,54713.3576
Tights,2013,10,17880.04568
Bib-Shorts,2013,10,14833.12369
Gloves,2013,10,13155.07439
Jerseys,2013,10,9453.55506
Forks,2013,10,8525.646
Helmets,2013,10,8348.681485
Shorts,2013,10,6802.866
Handlebars,2013,10,6771.140112
Headsets,2013,10,5984.611632
Locks,2013,10,1370.52
Caps,2013,10,926.121888
Pumps,2013,10,911.544
Road Bikes,2013,11,1088422.873
Mountain Bikes,2013,11,862787.9772
Touring Bikes,2013,11,550625.8492
Road Frames,2013,11,210125.3665
Mountain Frames,2013,11,208815.6703
Touring Frames,2013,11,151825.9755
Jerseys,2013,11,38180.12985
Vests,2013,11,19266.2302
Shorts,2013,11,16369.42218
Cranksets,2013,11,16060.80442
Bike Racks,2013,11,14905.272
Pedals,2013,11,12733.47531
Handlebars,2013,11,10186.782
Helmets,2013,11,9485.789
Gloves,2013,11,5737.044543
Hydration Packs,2013,11,5367.397932
Saddles,2013,11,5298.986112
Brakes,2013,11,5112
Derailleurs,2013,11,4786.176
Bottom Brackets,2013,11,3385.428
Socks,2013,11,1393.556082
Caps,2013,11,1295.768256
Cleaners,2013,11,1016.99103
Bottles and Cages,2013,11,756.618375
Wheels,2013,11,528.4488
Chains,2013,11,485.76
Tires and Tubes,2013,11,348.016
Bike Stands,2013,11,159
Bib-Shorts,2013,11,116.987
Fenders,2013,11,43.96
Road Bikes,2013,12,1458572.098
Mountain Bikes,2013,12,1355023.389
Touring Bikes,2013,12,1132492.626
Mountain Frames,2013,12,305923.4993
Road Frames,2013,12,287171.2164
Touring Frames,2013,12,237300.0145
Jerseys,2013,12,58337.07989
Shorts,2013,12,33721.70693
Vests,2013,12,29613.4409
Cranksets,2013,12,27766.23379
Bike Racks,2013,12,25764
Helmets,2013,12,21801.69516
Pedals,2013,12,21697.83802
Handlebars,2013,12,16508.97899
Hydration Packs,2013,12,11396.58952
Saddles,2013,12,10038.012
Gloves,2013,12,8460.477034
Brakes,2013,12,8417.9304
Derailleurs,2013,12,7583.5249
Bottom Brackets,2013,12,5280.642
Tires and Tubes,2013,12,4388.565632
Socks,2013,12,2767.154364
Bottles and Cages,2013,12,2726.8576
Caps,2013,12,2611.339684
Cleaners,2013,12,1705.566765
Fenders,2013,12,1099
Chains,2013,12,1098.068576
Bike Stands,2013,12,795
Wheels,2013,12,450.9079
Tights,2013,12,438.6915
Bib-Shorts,2013,12,116.987
Mountain Bikes,2014,1,1281345.12
Touring Bikes,2014,1,1210589.862
Road Bikes,2014,1,1188331.406
Mountain Frames,2014,1,312020.4731
Touring Frames,2014,1,275512.526
Road Frames,2014,1,258149.5587
Jerseys,2014,1,61736.06271
Shorts,2014,1,38209.57485
Cranksets,2014,1,36294.954
Helmets,2014,1,32921.89156
Bike Racks,2014,1,29802.3
Vests,2014,1,28444.1011
Pedals,2014,1,19728.522
Tires and Tubes,2014,1,18931.416
Handlebars,2014,1,16878.18226
Brakes,2014,1,13099.5
Derailleurs,2014,1,12989.022
Hydration Packs,2014,1,11419.7733
Gloves,2014,1,9985.118076
Saddles,2014,1,9565.824
Bottom Brackets,2014,1,8787.57
Bottles and Cages,2014,1,4705.590392
Fenders,2014,1,3362.94
Caps,2014,1,3331.744344
Bike Stands,2014,1,3021
Socks,2014,1,2315.773656
Chains,2014,1,1886.788992
Cleaners,2014,1,1830.316575
Wheels,2014,1,698.634
Tights,2014,1,341.2045
Bib-Shorts,2014,1,116.987
Road Bikes,2014,2,1031456.984
Mountain Bikes,2014,2,1003019.732
Touring Bikes,2014,2,808936.533
Mountain Frames,2014,2,118989.8731
Road Frames,2014,2,77125.0348
Touring Frames,2014,2,75302.78488
Jerseys,2014,2,41362.73583
Helmets,2014,2,26093.35862
Shorts,2014,2,23835.99037
Tires and Tubes,2014,2,19950.402
Vests,2014,2,17854.30135
Bike Racks,2014,2,17387.184
Cranksets,2014,2,10448.64
Pedals,2014,2,9274.602
Hydration Packs,2014,2,8536.955544
Gloves,2014,2,7931.948548
Handlebars,2014,2,5992.992
Derailleurs,2014,2,4698.532076
Bottles and Cages,2014,2,4525.439508
Fenders,2014,2,3318.98
Bottom Brackets,2014,2,3191.034
Bike Stands,2014,2,3180
Brakes,2014,2,3131.1
Saddles,2014,2,2687.714936
Caps,2014,2,2450.507685
Socks,2014,2,1600.047392
Cleaners,2014,2,1340.62758
Chains,2014,2,340.032
Road Bikes,2014,3,1318888.687
Mountain Bikes,2014,3,1244716.836
Touring Bikes,2014,3,1214628.905
Mountain Frames,2014,3,224303.976
Touring Frames,2014,3,154334.6393
Road Frames,2014,3,110277.036
Jerseys,2014,3,48318.08918
Shorts,2014,3,30568.71342
Helmets,2014,3,27354.8356
Vests,2014,3,24100.46615
Bike Racks,2014,3,22828.512
Tires and Tubes,2014,3,18561.388
Pedals,2014,3,16565.112
Cranksets,2014,3,13955.85
Hydration Packs,2014,3,9186.161985
Gloves,2014,3,7552.245792
Handlebars,2014,3,6486.588
Brakes,2014,3,6390
Derailleurs,2014,3,5972.07
Bottles and Cages,2014,3,4676.562808
Saddles,2014,3,4250.052
Bike Stands,2014,3,4134
Fenders,2014,3,3714.62
Bottom Brackets,2014,3,3118.14
Caps,2014,3,2879.482616
Socks,2014,3,2438.962727
Cleaners,2014,3,1611.8307
Chains,2014,3,752.928
Tights,2014,3,243.7175
Wheels,2014,3,83.2981
Locks,2014,3,15
Touring Bikes,2014,4,1497460.966
Mountain Bikes,2014,4,1338738.674
Road Bikes,2014,4,1217739.119
Mountain Frames,2014,4,221830.4458
Touring Frames,2014,4,137878.104
Road Frames,2014,4,99189.75
Jerseys,2014,4,47761.25915
Helmets,2014,4,30733.99135
Shorts,2014,4,28533.34823
Vests,2014,4,23255.73835
Bike Racks,2014,4,21181.2
Tires and Tubes,2014,4,21152.656
Cranksets,2014,4,19722.792
Pedals,2014,4,14060.976
Hydration Packs,2014,4,9207.613584
Handlebars,2014,4,9196.104
Brakes,2014,4,9036.7806
Derailleurs,2014,4,8291.808
Gloves,2014,4,7678.812675
Bottom Brackets,2014,4,7030.008
Saddles,2014,4,5991.374112
Bottles and Cages,2014,4,5038.953192
Bike Stands,2014,4,3816
Fenders,2014,4,3736.6
Caps,2014,4,2738.841258
Socks,2014,4,2076.261177
Cleaners,2014,4,1612.75608
Chains,2014,4,1122.356576
Road Bikes,2014,5,1066177.629
Mountain Bikes,2014,5,1042572.351
Touring Bikes,2014,5,902005.3144
Mountain Frames,2014,5,61012.986
Touring Frames,2014,5,45338.772
Jerseys,2014,5,34516.68782
Helmets,2014,5,26270.492
Road Frames,2014,5,23105.532
Tires and Tubes,2014,5,20956.06
Shorts,2014,5,17931.31902
Vests,2014,5,12937.236
Bike Racks,2014,5,11472
Cranksets,2014,5,6949.608
Bottles and Cages,2014,5,5883.572
Hydration Packs,2014,5,5400.018
Gloves,2014,5,5080.509276
Fenders,2014,5,4220.16
Bike Stands,2014,5,3816
Pedals,2014,5,3599.058
Caps,2014,5,2429.284992
Derailleurs,2014,5,1921.29
Bottom Brackets,2014,5,1749.456
Brakes,2014,5,1661.4
Handlebars,2014,5,1340.088
Cleaners,2014,5,1230.66
Saddles,2014,5,1157.244
Socks,2014,5,1104.0619
Chains,2014,5,291.456
Road Bikes,2014,6,1284311.558
Mountain Bikes,2014,6,1258255.467
Touring Bikes,2014,6,1099947.659
Mountain Frames,2014,6,133706.646
Touring Frames,2014,6,82051.218
Jerseys,2014,6,34891.73508
Road Frames,2014,6,29006.964
Helmets,2014,6,23590.258
Shorts,2014,6,23252.37176
Tires and Tubes,2014,6,21447.468
Vests,2014,6,15209.2025
Bike Racks,2014,6,12582.288
Cranksets,2014,6,10610.67
Pedals,2014,6,6524.352
Hydration Packs,2014,6,5974.795476
Bottles and Cages,2014,6,5158.661792
Gloves,2014,6,4834.326
Fenders,2014,6,4417.98
Bottom Brackets,2014,6,2915.76
Bike Stands,2014,6,2703
Handlebars,2014,6,2521.14
Caps,2014,6,2281.662
Derailleurs,2014,6,2085.972
Brakes,2014,6,2044.8
Saddles,2014,6,1716.024
Socks,2014,6,1708.571076
Cleaners,2014,6,1262.46
Chains,2014,6,473.616
Touring Bikes,2014,7,1473593.303
Mountain Bikes,2014,7,1257649.697
Road Bikes,2014,7,1161599.45
Mountain Frames,2014,7,115170.708
Touring Frames,2014,7,54347.682
Jerseys,2014,7,34590.93102
Helmets,2014,7,25318.764
Road Frames,2014,7,24665.154
Shorts,2014,7,24469.67983
Tires and Tubes,2014,7,21111.63
Cranksets,2014,7,17900.49
Vests,2014,7,16415.67075
Bike Racks,2014,7,12840
Hydration Packs,2014,7,6191.874
Bottles and Cages,2014,7,5729.746
Pedals,2014,7,5661.03
Gloves,2014,7,5027.445276
Brakes,2014,7,4409.1
Fenders,2014,7,3582.74
Bottom Brackets,2014,7,3061.548
Derailleurs,2014,7,2964.276
Bike Stands,2014,7,2862
Caps,2014,7,2727.677476
Handlebars,2014,7,2483.988
Saddles,2014,7,2125.8
Socks,2014,7,1430.113018
Cleaners,2014,7,1110.23658
Chains,2014,7,777.216
Mountain Bikes,2014,8,519976.08
Road Bikes,2014,8,391068.6428
Touring Bikes,2014,8,343276.95
Tires and Tubes,2014,8,18560.04
Helmets,2014,8,18061.838
Jerseys,2014,8,13345.42
Shorts,2014,8,5389.23
Bottles and Cages,2014,8,4663.45
Hydration Packs,2014,8,3519.36
Fenders,2014,8,3494.82
Bike Racks,2014,8,3240
Vests,2014,8,3175
Bike Stands,2014,8,2703
Road Frames,2014,8,2390.9308
Gloves,2014,8,2253.08
Caps,2014,8,1618.2
Cleaners,2014,8,413.4
Socks,2014,8,341.62
Bib-Shorts,2014,8,233.974
Road Bikes,2014,9,2148706.22
Touring Bikes,2014,9,1973165.63
Mountain Bikes,2014,9,1922495.797
Mountain Frames,2014,9,343024.626
Touring Frames,2014,9,246806.37
Road Frames,2014,9,173866.0708
Jerseys,2014,9,75862.04034
Shorts,2014,9,49009.57363
Helmets,2014,9,43928.25148
Vests,2014,9,40115.2741
Bike Racks,2014,9,35588.712
Pedals,2014,9,23910.63859
Cranksets,2014,9,23294.814
Tires and Tubes,2014,9,22999.198
Handlebars,2014,9,13237.41
Hydration Packs,2014,9,13078.7996
Gloves,2014,9,10774.55183
Derailleurs,2014,9,10300.164
Saddles,2014,9,7581.401088
Bottles and Cages,2014,9,6912.593884
Brakes,2014,9,6837.3
Bottom Brackets,2014,9,5928.492
Bike Stands,2014,9,4929
Caps,2014,9,4219.747776
Fenders,2014,9,4022.34
Socks,2014,9,3262.14736
Cleaners,2014,9,2349.562875
Chains,2014,9,1129.392
Tights,2014,9,194.974
Mountain Bikes,2014,10,745380.46
Road Bikes,2014,10,527137.55
Touring Bikes,2014,10,424048.23
Helmets,2014,10,22855.468
Tires and Tubes,2014,10,22315.91
Jerseys,2014,10,15357.04
Shorts,2014,10,5669.19
Bike Racks,2014,10,5400
Bottles and Cages,2014,10,5239.66
Fenders,2014,10,4769.66
Hydration Packs,2014,10,4124.25
Gloves,2014,10,3797.578
Bike Stands,2014,10,3657
Vests,2014,10,3492.5
Caps,2014,10,1735.07
Road Frames,2014,10,713.796
Cleaners,2014,10,699.6
Socks,2014,10,449.5
Bib-Shorts,2014,10,233.974
Tights,2014,10,97.487
Touring Bikes,2014,11,1665519.432
Mountain Bikes,2014,11,1578293.987
Road Bikes,2014,11,1321269.145
Mountain Frames,2014,11,220929.06
Touring Frames,2014,11,181629.6
Road Frames,2014,11,102948.012
Jerseys,2014,11,52521.52823
Helmets,2014,11,34956.22765
Shorts,2014,11,30612.35918
Vests,2014,11,23640.7071
Tires and Tubes,2014,11,22039.508
Bike Racks,2014,11,21704.688
Cranksets,2014,11,20937.762
Pedals,2014,11,13728.30588
Hydration Packs,2014,11,10993.08939
Handlebars,2014,11,8655.006
Derailleurs,2014,11,8616.660824
Gloves,2014,11,7539.814668
Bottom Brackets,2014,11,7378.296
Bottles and Cages,2014,11,6564.597776
Brakes,2014,11,5878.8
Saddles,2014,11,5416.956
Fenders,2014,11,4571.84
Caps,2014,11,3294.2057
Bike Stands,2014,11,2067
Socks,2014,11,2059.220632
Cleaners,2014,11,1889.063895
Chains,2014,11,1020.096
Tires and Tubes,2014,12,13692.27
Helmets,2014,12,9167.38
Jerseys,2014,12,7526.54
Shorts,2014,12,4129.41
Bike Racks,2014,12,2400
Fenders,2014,12,2263.94
Vests,2014,12,1968.5
Bike Stands,2014,12,1749
Bottles and Cages,2014,12,1692.49
Gloves,2014,12,1591.85
Hydration Packs,2014,12,1429.74
Caps,2014,12,836.07
Cleaners,2014,12,333.9
Socks,2014,12,224.75
