KeyArea,KPI,Year,Period,Dimension,MetricValue
Sales Performance,Sales Trend - By Subcategory,2013,2,Handlebars,5150.552412
Sales Performance,Sales Trend - By Subcategory,2013,7,Mountain Frames,83686.316100
Sales Performance,Sales Trend - By Subcategory,2014,2,Brakes,3131.100000
Sales Performance,Sales Trend - By Subcategory,2014,4,Mountain Frames,221830.445828
Sales Performance,Sales Trend - By Subcategory,2014,11,Cranksets,20937.762000
Sales Performance,Sales Trend - By Subcategory,2012,6,Caps,129.662500
Sales Performance,Sales Trend - By Subcategory,2013,9,Road Bikes,1800833.271767
Sales Performance,Sales Trend - By Subcategory,2012,2,Socks,1003.309250
Sales Performance,Sales Trend - By Subcategory,2012,3,Road Bikes,414049.105800
Sales Performance,Sales Trend - By Subcategory,2014,2,Bike Stands,3180.000000
Sales Performance,Sales Trend - By Subcategory,2013,5,Caps,440.852500
Sales Performance,Sales Trend - By Subcategory,2013,12,Helmets,21801.695164
Sales Performance,Sales Trend - By Subcategory,2012,2,Jerseys,7008.217200
Sales Performance,Sales Trend - By Subcategory,2013,7,Locks,750.000000
Sales Performance,Sales Trend - By Subcategory,2013,11,Jerseys,38180.129845
Sales Performance,Sales Trend - By Subcategory,2014,5,Socks,1104.061900
Sales Performance,Sales Trend - By Subcategory,2014,6,Gloves,4834.326000
Sales Performance,Sales Trend - By Subcategory,2014,8,Jerseys,13345.420000
Sales Performance,Sales Trend - By Subcategory,2014,10,Bike Racks,5400.000000
Sales Performance,Sales Trend - By Subcategory,2014,2,Caps,2450.507685
Sales Performance,Sales Trend - By Subcategory,2014,7,Fenders,3582.740000
Sales Performance,Sales Trend - By Subcategory,2014,9,Helmets,43928.251484
Sales Performance,Sales Trend - By Subcategory,2013,9,Headsets,5248.123632
Sales Performance,Sales Trend - By Subcategory,2014,2,Shorts,23835.990372
Sales Performance,Sales Trend - By Subcategory,2014,4,Bottles and Cages,5038.953192
Sales Performance,Sales Trend - By Subcategory,2014,2,Tires and Tubes,19950.402000
Sales Performance,Sales Trend - By Subcategory,2014,6,Chains,473.616000
Sales Performance,Sales Trend - By Subcategory,2014,11,Road Bikes,1321269.145418
Sales Performance,Sales Trend - By Subcategory,2013,10,Mountain Bikes,902992.519500
Sales Performance,Sales Trend - By Subcategory,2014,7,Mountain Bikes,1257649.697476
Sales Performance,Sales Trend - By Subcategory,2013,12,Derailleurs,7583.524900
Sales Performance,Sales Trend - By Subcategory,2014,12,Bike Racks,2400.000000
Sales Performance,Sales Trend - By Subcategory,2012,4,Socks,1400.091950
Sales Performance,Sales Trend - By Subcategory,2014,3,Wheels,83.298100
Sales Performance,Sales Trend - By Subcategory,2012,7,Jerseys,8248.354400
Sales Performance,Sales Trend - By Subcategory,2013,2,Locks,960.000000
Sales Performance,Sales Trend - By Subcategory,2012,11,Wheels,69155.808492
Sales Performance,Sales Trend - By Subcategory,2014,4,Bike Stands,3816.000000
Sales Performance,Sales Trend - By Subcategory,2014,9,Touring Bikes,1973165.629518
Sales Performance,Sales Trend - By Subcategory,2014,1,Gloves,9985.118076
Sales Performance,Sales Trend - By Subcategory,2012,1,Mountain Bikes,1092336.884324
Sales Performance,Sales Trend - By Subcategory,2013,9,Handlebars,5881.844100
Sales Performance,Sales Trend - By Subcategory,2014,6,Bottles and Cages,5158.661792
Sales Performance,Sales Trend - By Subcategory,2014,9,Vests,40115.274100
Sales Performance,Sales Trend - By Subcategory,2014,2,Fenders,3318.980000
Sales Performance,Sales Trend - By Subcategory,2013,4,Jerseys,12193.759870
Sales Performance,Sales Trend - By Subcategory,2014,7,Derailleurs,2964.276000
Sales Performance,Sales Trend - By Subcategory,2014,10,Road Frames,713.796000
Sales Performance,Sales Trend - By Subcategory,2012,5,Road Bikes,609290.201400
Sales Performance,Sales Trend - By Subcategory,2014,6,Pedals,6524.352000
Sales Performance,Sales Trend - By Subcategory,2014,7,Tires and Tubes,21111.630000
Sales Performance,Sales Trend - By Subcategory,2013,12,Vests,29613.440900
Sales Performance,Sales Trend - By Subcategory,2012,9,Socks,836.047500
Sales Performance,Sales Trend - By Subcategory,2013,9,Mountain Frames,176103.865600
Sales Performance,Sales Trend - By Subcategory,2013,12,Hydration Packs,11396.589516
Sales Performance,Sales Trend - By Subcategory,2013,12,Bib-Shorts,116.987000
Sales Performance,Sales Trend - By Subcategory,2014,1,Jerseys,61736.062711
Sales Performance,Sales Trend - By Subcategory,2013,5,Helmets,3371.145500
Sales Performance,Sales Trend - By Subcategory,2014,2,Helmets,26093.358624
Sales Performance,Sales Trend - By Subcategory,2014,4,Caps,2738.841258
Sales Performance,Sales Trend - By Subcategory,2012,6,Mountain Bikes,467503.620000
Sales Performance,Sales Trend - By Subcategory,2011,11,Mountain Frames,9633.656000
Sales Performance,Sales Trend - By Subcategory,2014,7,Socks,1430.113018
Sales Performance,Sales Trend - By Subcategory,2012,12,Mountain Frames,243623.509200
Sales Performance,Sales Trend - By Subcategory,2013,11,Saddles,5298.986112
Sales Performance,Sales Trend - By Subcategory,2014,6,Mountain Frames,133706.646000
Sales Performance,Sales Trend - By Subcategory,2012,11,Road Frames,269761.042352
Sales Performance,Sales Trend - By Subcategory,2014,10,Tights,97.487000
Sales Performance,Sales Trend - By Subcategory,2013,7,Road Bikes,1067159.905416
Sales Performance,Sales Trend - By Subcategory,2014,4,Road Bikes,1217739.119406
Sales Performance,Sales Trend - By Subcategory,2014,6,Cranksets,10610.670000
Sales Performance,Sales Trend - By Subcategory,2014,7,Brakes,4409.100000
Sales Performance,Sales Trend - By Subcategory,2012,11,Bib-Shorts,17240.356192
Sales Performance,Sales Trend - By Subcategory,2013,6,Road Frames,41904.013500
Sales Performance,Sales Trend - By Subcategory,2013,8,Mountain Bikes,847502.602876
Sales Performance,Sales Trend - By Subcategory,2013,7,Caps,639.847936
Sales Performance,Sales Trend - By Subcategory,2014,7,Bottom Brackets,3061.548000
Sales Performance,Sales Trend - By Subcategory,2013,2,Pumps,779.610000
Sales Performance,Sales Trend - By Subcategory,2014,5,Bike Racks,11472.000000
Sales Performance,Sales Trend - By Subcategory,2014,6,Hydration Packs,5974.795476
Sales Performance,Sales Trend - By Subcategory,2014,3,Road Frames,110277.036000
Sales Performance,Sales Trend - By Subcategory,2014,5,Mountain Bikes,1042572.351268
Sales Performance,Sales Trend - By Subcategory,2014,8,Gloves,2253.080000
Sales Performance,Sales Trend - By Subcategory,2012,10,Helmets,4279.538000
Sales Performance,Sales Trend - By Subcategory,2013,1,Wheels,94644.497900
Sales Performance,Sales Trend - By Subcategory,2014,11,Bike Stands,2067.000000
Sales Performance,Sales Trend - By Subcategory,2012,11,Tights,18477.640986
Sales Performance,Sales Trend - By Subcategory,2013,4,Headsets,6241.416000
Sales Performance,Sales Trend - By Subcategory,2014,9,Fenders,4022.340000
Sales Performance,Sales Trend - By Subcategory,2012,12,Road Bikes,1986914.175993
Sales Performance,Sales Trend - By Subcategory,2014,1,Chains,1886.788992
Sales Performance,Sales Trend - By Subcategory,2013,7,Shorts,3743.376000
Sales Performance,Sales Trend - By Subcategory,2014,4,Shorts,28533.348225
Sales Performance,Sales Trend - By Subcategory,2013,1,Road Frames,290444.984858
Sales Performance,Sales Trend - By Subcategory,2013,6,Tights,9853.686000
Sales Performance,Sales Trend - By Subcategory,2014,6,Handlebars,2521.140000
Sales Performance,Sales Trend - By Subcategory,2014,11,Caps,3294.205700
Sales Performance,Sales Trend - By Subcategory,2013,6,Gloves,11230.988867
Sales Performance,Sales Trend - By Subcategory,2014,11,Shorts,30612.359181
Sales Performance,Sales Trend - By Subcategory,2013,12,Touring Bikes,1132492.625829
Sales Performance,Sales Trend - By Subcategory,2014,4,Touring Bikes,1497460.966236
Sales Performance,Sales Trend - By Subcategory,2013,7,Pumps,659.670000
Sales Performance,Sales Trend - By Subcategory,2014,3,Tights,243.717500
Sales Performance,Sales Trend - By Subcategory,2014,4,Vests,23255.738350
Sales Performance,Sales Trend - By Subcategory,2013,6,Wheels,22941.237000
Sales Performance,Sales Trend - By Subcategory,2013,5,Forks,2065.410000
Sales Performance,Sales Trend - By Subcategory,2014,2,Derailleurs,4698.532076
Sales Performance,Sales Trend - By Subcategory,2014,7,Touring Frames,54347.682000
Sales Performance,Sales Trend - By Subcategory,2013,5,Bib-Shorts,6533.274000
Sales Performance,Sales Trend - By Subcategory,2013,2,Mountain Frames,103356.716576
Sales Performance,Sales Trend - By Subcategory,2014,11,Cleaners,1889.063895
Sales Performance,Sales Trend - By Subcategory,2012,1,Caps,530.658264
Sales Performance,Sales Trend - By Subcategory,2014,1,Pedals,19728.522000
Sales Performance,Sales Trend - By Subcategory,2014,5,Saddles,1157.244000
Sales Performance,Sales Trend - By Subcategory,2014,6,Caps,2281.662000
Sales Performance,Sales Trend - By Subcategory,2014,11,Fenders,4571.840000
Sales Performance,Sales Trend - By Subcategory,2012,10,Road Frames,46666.802900
Sales Performance,Sales Trend - By Subcategory,2013,11,Bottles and Cages,756.618375
Sales Performance,Sales Trend - By Subcategory,2014,4,Mountain Bikes,1338738.674000
Sales Performance,Sales Trend - By Subcategory,2014,6,Shorts,23252.371758
Sales Performance,Sales Trend - By Subcategory,2013,11,Road Bikes,1088422.872706
Sales Performance,Sales Trend - By Subcategory,2013,11,Mountain Frames,208815.670320
Sales Performance,Sales Trend - By Subcategory,2013,11,Vests,19266.230200
Sales Performance,Sales Trend - By Subcategory,2013,9,Caps,1244.133652
Sales Performance,Sales Trend - By Subcategory,2013,12,Brakes,8417.930400
Sales Performance,Sales Trend - By Subcategory,2014,2,Touring Frames,75302.784884
Sales Performance,Sales Trend - By Subcategory,2013,6,Pumps,467.766000
Sales Performance,Sales Trend - By Subcategory,2014,9,Socks,3262.147360
Sales Performance,Sales Trend - By Subcategory,2014,7,Saddles,2125.800000
Sales Performance,Sales Trend - By Subcategory,2014,8,Hydration Packs,3519.360000
Sales Performance,Sales Trend - By Subcategory,2014,12,Bike Stands,1749.000000
Sales Performance,Sales Trend - By Subcategory,2014,3,Derailleurs,5972.070000
Sales Performance,Sales Trend - By Subcategory,2014,11,Touring Bikes,1665519.431796
Sales Performance,Sales Trend - By Subcategory,2013,2,Wheels,43782.000000
Sales Performance,Sales Trend - By Subcategory,2014,7,Cleaners,1110.236580
Sales Performance,Sales Trend - By Subcategory,2014,11,Road Frames,102948.012000
Sales Performance,Sales Trend - By Subcategory,2014,2,Bottom Brackets,3191.034000
Sales Performance,Sales Trend - By Subcategory,2012,2,Caps,710.550500
Sales Performance,Sales Trend - By Subcategory,2014,8,Vests,3175.000000
Sales Performance,Sales Trend - By Subcategory,2014,12,Jerseys,7526.540000
Sales Performance,Sales Trend - By Subcategory,2013,2,Road Frames,112326.401500
Sales Performance,Sales Trend - By Subcategory,2013,9,Shorts,8350.608000
Sales Performance,Sales Trend - By Subcategory,2014,8,Bottles and Cages,4663.450000
Sales Performance,Sales Trend - By Subcategory,2012,7,Road Bikes,1896783.735600
Sales Performance,Sales Trend - By Subcategory,2013,10,Tights,17880.045676
Sales Performance,Sales Trend - By Subcategory,2013,10,Gloves,13155.074389
Sales Performance,Sales Trend - By Subcategory,2013,5,Handlebars,1608.739500
Sales Performance,Sales Trend - By Subcategory,2013,4,Mountain Frames,161590.589300
Sales Performance,Sales Trend - By Subcategory,2014,2,Cranksets,10448.640000
Sales Performance,Sales Trend - By Subcategory,2013,7,Bib-Shorts,6533.274000
Sales Performance,Sales Trend - By Subcategory,2013,12,Saddles,10038.012000
Sales Performance,Sales Trend - By Subcategory,2014,11,Brakes,5878.800000
Sales Performance,Sales Trend - By Subcategory,2013,9,Road Frames,187222.582200
Sales Performance,Sales Trend - By Subcategory,2014,5,Pedals,3599.058000
